date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2023-03-16,DAL,0,1,1,1,2,20.9,W,4,1,,regular_season,2022-23,False,2.0,False,1.4,2.6585
2023-03-18,SEA,0,3,3,0,2,22.133333333333333,W,6,4,,regular_season,2022-23,False,2.0,False,1.0,3.122
2023-03-20,SJS,0,2,2,1,7,26.266666666666666,W,5,4,,regular_season,2022-23,False,2.0,False,1.6,3.9146
2023-03-22,ARI,0,4,4,1,3,24.75,W,4,3,,regular_season,2022-23,False,2.0,False,1.8,3.6463
2023-03-25,VGK,1,1,2,-1,4,19.133333333333333,L,3,4,,regular_season,2022-23,False,3.0,False,2.4,2.7927
2023-03-27,ARI,1,1,2,0,1,17.783333333333335,W,5,4,,regular_season,2022-23,False,2.0,False,2.4,3.6463
2023-03-28,VGK,1,1,2,0,4,18.15,W,7,4,,regular_season,2022-23,False,1.0,True,2.6,2.7927
2023-03-30,LAK,0,1,1,1,2,23.75,W,2,0,,regular_season,2022-23,False,2.0,False,2.4,3.1341
2023-04-01,ANA,3,0,3,4,9,20.716666666666665,W,6,0,,regular_season,2022-23,False,2.0,False,2.2,4.122
2023-04-04,LAK,1,2,3,0,2,22.683333333333334,W,3,1,,regular_season,2022-23,False,3.0,False,2.0,3.1341
2023-04-05,ANA,0,0,0,0,3,18.616666666666667,W,3,1,,regular_season,2022-23,False,1.0,True,2.2,4.122
2023-04-08,SJS,0,1,1,0,1,17.016666666666666,W,6,1,,regular_season,2022-23,False,3.0,False,1.8,3.9146
2023-04-11,COL,0,1,1,0,0,24.366666666666667,W,2,1,,regular_season,2022-23,False,3.0,False,1.6,2.7531
2023-04-13,SJS,1,2,3,1,3,13.033333333333331,W,5,2,,regular_season,2022-23,False,2.0,False,1.6,3.9146
2023-04-17,LAK,2,0,2,1,6,20.53333333333333,L,3,4,1.0,first_round,2022-23,False,4.0,False,1.6,3.1341
2023-04-19,LAK,1,2,3,1,3,21.28333333333333,W,4,2,2.0,first_round,2022-23,False,2.0,False,1.4,3.1341
2023-04-21,LAK,0,1,1,0,3,23.73333333333333,L,2,3,3.0,first_round,2022-23,False,2.0,False,2.0,3.1341
2023-04-23,LAK,2,1,3,2,5,28.15,W,5,4,4.0,first_round,2022-23,False,2.0,False,2.0,3.1341
2023-04-25,LAK,1,0,1,-1,5,21.633333333333333,W,6,3,5.0,first_round,2022-23,False,2.0,False,2.4,3.1341
2023-04-29,LAK,1,0,1,1,3,27.35,W,5,4,6.0,first_round,2022-23,False,4.0,False,2.0,3.1341
2023-05-03,VGK,4,0,4,1,5,24.1,L,4,6,1.0,second_round,2022-23,False,4.0,False,1.8,2.7927
2023-05-06,VGK,2,0,2,1,4,18.666666666666668,W,5,1,2.0,second_round,2022-23,False,3.0,False,2.0,2.7927
2023-05-08,VGK,0,0,0,-2,3,23.05,L,1,5,3.0,second_round,2022-23,False,2.0,False,2.2,2.7927
2023-05-10,VGK,0,1,1,0,1,19.916666666666668,W,4,1,4.0,second_round,2022-23,False,2.0,False,1.6,2.7927
2023-05-12,VGK,0,0,0,-1,4,24.5,L,3,4,5.0,second_round,2022-23,False,2.0,False,1.6,2.7927
2023-05-14,VGK,0,0,0,-4,3,24.73333333333333,L,2,5,6.0,second_round,2022-23,True,2.0,False,1.4,2.7927
2023-10-11,VAN,1,0,1,0,2,20.933333333333334,L,1,8,,regular_season,2023-24,False,,False,,2.7195
2023-10-14,VAN,1,1,2,0,7,25.433333333333334,L,3,4,,regular_season,2023-24,False,3.0,False,1.0,2.7195
2023-10-17,NSH,2,2,4,2,5,21.0,W,6,1,,regular_season,2023-24,False,3.0,False,1.5,3.0244
2023-10-19,PHI,0,0,0,-2,2,19.53333333333333,L,1,4,,regular_season,2023-24,False,2.0,False,2.3333333333333335,3.1829
2023-10-21,WPG,0,2,2,0,2,23.683333333333334,L,2,3,,regular_season,2023-24,False,2.0,False,1.75,2.4268
